item	itemLabel	itemDescription	cui
http://www.wikidata.org/entity/Q189763	trigeminal nerve	nerve in human face	C0040996
http://www.wikidata.org/entity/Q190140	vagus nerve	tenth cranial nerve	C0042276
http://www.wikidata.org/entity/Q191573	cerebrovascular insufficiency	no description	C0241832
http://www.wikidata.org/entity/Q201334	Koebner phenomenon	skin lesion on lines of trauma	C0263367
http://www.wikidata.org/entity/Q188638	mood disorders	disorders characterised by disturbance in an individual's mood	C0525045
http://www.wikidata.org/entity/Q191521	sildenafil	Sildenafil is a medication used to treat erectile dysfunction and pulmonary arterial hypertension	C0529793
http://www.wikidata.org/entity/Q198728	ponatinib	chemical compound	C2987417
http://www.wikidata.org/entity/Q212743	epidermis	outermost layers of the skin	C0014520
http://www.wikidata.org/entity/Q207791	fetishism	sexual arousal a person receives from an object or situation	C0015957
http://www.wikidata.org/entity/Q202173	hordeolum	bacterial infection of an oil gland in the eyelid	C0019917
http://www.wikidata.org/entity/Q208562	Marfan syndrome	genetic disorder of the connective tissue	C0024796
http://www.wikidata.org/entity/Q207843	nitric oxide	chemical compound	C0028128
http://www.wikidata.org/entity/Q212961	pancreatic cancer	endocrine gland cancer located in the pancreas	C0030297
http://www.wikidata.org/entity/Q56013766	rare tumor of pancreas	Any of the forms of pancreatic neoplasm that have a rare incidence	C0030297
http://www.wikidata.org/entity/Q208042	regression analysis	set of statistical processes for estimating the relationships among variables	C0034980
http://www.wikidata.org/entity/Q203174	thalidomide	chemical compound	C0039736
http://www.wikidata.org/entity/Q204714	zinc chloride	chemical compound	C0078774
http://www.wikidata.org/entity/Q220188	post-polio syndrome	Human disease	C0080040
http://www.wikidata.org/entity/Q202998	zileuton	chemical compound	C0081408
http://www.wikidata.org/entity/Q212961	pancreatic cancer	endocrine gland cancer located in the pancreas	C0153458
http://www.wikidata.org/entity/Q212961	pancreatic cancer	endocrine gland cancer located in the pancreas	C0153459
http://www.wikidata.org/entity/Q212961	pancreatic cancer	endocrine gland cancer located in the pancreas	C0153460
http://www.wikidata.org/entity/Q212961	pancreatic cancer	endocrine gland cancer located in the pancreas	C0153463
http://www.wikidata.org/entity/Q217519	bubonic plague	human and animal disease	C0282312
http://www.wikidata.org/entity/Q212961	pancreatic cancer	endocrine gland cancer located in the pancreas	C0346647
http://www.wikidata.org/entity/Q208634	katal	SI unit of catalytic activity	C0439245
http://www.wikidata.org/entity/Q203699	insect sting allergy	type of allergy cause by an insect bite or sting	C0740318
http://www.wikidata.org/entity/Q204964	stannous chloride	chemical compound	C0982413
http://www.wikidata.org/entity/Q212961	pancreatic cancer	endocrine gland cancer located in the pancreas	C1842408
http://www.wikidata.org/entity/Q202173	hordeolum	bacterial infection of an oil gland in the eyelid	C4280376
http://www.wikidata.org/entity/Q223851	corpus callosum	brain part	C0010090
http://www.wikidata.org/entity/Q228537	forearm	region of the upper limb between the elbow and the wrist	C0016536
http://www.wikidata.org/entity/Q237229	metacarpal bones	bones of hand	C0025526
http://www.wikidata.org/entity/Q221174	topiramate	an anticonvulsant (antiepilepsy) drug	C0076829
http://www.wikidata.org/entity/Q259626	aspergillosis	infectious disease of humans, birds and other animals	C0004030
http://www.wikidata.org/entity/Q246070	cystadenoma	adenoma that is a cystic	C0010633
http://www.wikidata.org/entity/Q254296	lansoprazole	chemical compound	C0050940
http://www.wikidata.org/entity/Q263713	nevirapine	chemical compound	C0132326
http://www.wikidata.org/entity/Q246002	polycystic liver disease	human disease	C0158683
http://www.wikidata.org/entity/Q266421	autosomal recessive congenital ichthyosis	congenital skin disease	C0239849
http://www.wikidata.org/entity/Q243875	elevated diaphragm	no description	C0264583
http://www.wikidata.org/entity/Q268713	mantle cell lymphoma	B-cell lymphocytic neoplasm due to CD5 positive antigen-naive pregerminal center B-cell within the mantle zone that surrounds normal germinal center follicles	C0334634
http://www.wikidata.org/entity/Q268713	mantle cell lymphoma	B-cell lymphocytic neoplasm due to CD5 positive antigen-naive pregerminal center B-cell within the mantle zone that surrounds normal germinal center follicles	C0555202
http://www.wikidata.org/entity/Q266421	autosomal recessive congenital ichthyosis	congenital skin disease	C0598226
http://www.wikidata.org/entity/Q246043	Cystic adventitial disease	no description	C1306656
http://www.wikidata.org/entity/Q269075	Sticky platelet syndrome	medical condition	C2609046
http://www.wikidata.org/entity/Q273169	capsaicin	chemical compound	C0006931
http://www.wikidata.org/entity/Q286978	muscle of mastication	muscles in the zygomatic arch that close the jaw	C0024890
http://www.wikidata.org/entity/Q284070	protein-losing enteropathy	Human disease	C0033680
http://www.wikidata.org/entity/Q287415	cholic acid	chemical compound	C0055568
http://www.wikidata.org/entity/Q270421	muscle weakness	lack of muscle strength	C0151786
http://www.wikidata.org/entity/Q283108	Bruton-type agammaglobulinemia	Human disease	C0221026
http://www.wikidata.org/entity/Q276469	blister	small pocket of fluid within the upper layers of the skin	C1579830
http://www.wikidata.org/entity/Q271021	cephalosporin antibiotic	class of pharmaceutical drugs	C3536856
http://www.wikidata.org/entity/Q318773	abducens nerve	cranial nerve controlling the movement of the lateral rectus muscle	C0000741
http://www.wikidata.org/entity/Q311992	acetylcarnitine	chemical compound	C0001040
http://www.wikidata.org/entity/Q303123	Aarskog syndrome	monogenic disease affects a person's height, muscles, skeleton, genitals, and appearance of the face	C0175701
http://www.wikidata.org/entity/Q306586	application of tourniquet	no description	C0204731
http://www.wikidata.org/entity/Q309082	mirror neuron	type of neuron associated with empathy	C3178760
http://www.wikidata.org/entity/Q326277	cation	ion with a positive charge	C0007447
http://www.wikidata.org/entity/Q323438	mesoderm	germ layer in the very early embryo	C0025485
http://www.wikidata.org/entity/Q336216	abdominal guarding	in medicine, the tensing of the abdominal wall muscles to guard inflamed organs	C0238547
http://www.wikidata.org/entity/Q348922	busulfan	chemical compound	C0006463
http://www.wikidata.org/entity/Q372725	thiethylperazine	chemical compound	C0039865
http://www.wikidata.org/entity/Q370066	tolosa-hunt syndrome	Human disease	C0040381
http://www.wikidata.org/entity/Q347337	balsalazide	chemical compound	C0052940
http://www.wikidata.org/entity/Q370066	tolosa-hunt syndrome	Human disease	C0392060
http://www.wikidata.org/entity/Q387082	ataxia telangiectasia	a rare, neurodegenerative, autosomal recessive human disease causing severe disability	C0004135
http://www.wikidata.org/entity/Q379476	epidermoid cyst	human disease	C0014511
http://www.wikidata.org/entity/Q388801	furosemide	medication used to treat fluid build-up due to heart failure, liver scarring, or kidney disease.	C0016860
http://www.wikidata.org/entity/Q385937	hesperidin	chemical compound	C0019392
http://www.wikidata.org/entity/Q386346	tethered spinal cord syndrome	neurological disorders	C0080178
http://www.wikidata.org/entity/Q1269334	spinal dysraphism	congenital defects of closure of vertebral arches, also associated with other malformations (of the spinal cord, nerve roots, congenital fibrous bands, lipomas, and congenital cysts)	C0080178
http://www.wikidata.org/entity/Q390791	hepatoerythropoietic porphyria	Human disease	C0162569
http://www.wikidata.org/entity/Q403463	Aicardi syndrome	syndrome that is characterized by absence or underdeveloped tissue connecting the left and right halves of the brain, infantile spasms and chorioretinal lacunae, which are defects in the light-sensitive tissue at the back of the eye	C0175713
http://www.wikidata.org/entity/Q377493	selective mutism	anxiety disorder causing inability to speak under certain circumstances	C0236818
http://www.wikidata.org/entity/Q379859	upper arm	proximal part of the free upper limb between the shoulder and the elbow	C0446516
http://www.wikidata.org/entity/Q403356	Kampo	system of diagnosis, therapy and study of traditional Chinese medicine in Japan	C0752221
http://www.wikidata.org/entity/Q387082	ataxia telangiectasia	a rare, neurodegenerative, autosomal recessive human disease causing severe disability	C0919524
http://www.wikidata.org/entity/Q374826	solifenacin succinate	pharmaceutical drug	C1509436
http://www.wikidata.org/entity/Q379038	adult polyglucosan body disease	Adult polyglucosan body disease (APBD) is a glycogen storage disease of adults characterized by progressive upper and lower motor neuron dysfunction, progressive neurogenic bladder and cognitive difficulties that can lead to dementia	C1849722
http://www.wikidata.org/entity/Q387082	ataxia telangiectasia	a rare, neurodegenerative, autosomal recessive human disease causing severe disability	C1859616
http://www.wikidata.org/entity/Q387082	ataxia telangiectasia	a rare, neurodegenerative, autosomal recessive human disease causing severe disability	C1876175
http://www.wikidata.org/entity/Q56014123	ataxia-telangiectasia variant	no description	C1876175
http://www.wikidata.org/entity/Q424751	(RS)-eflornithine	group of stereoisomers	C0002260
http://www.wikidata.org/entity/Q408529	amikacin	chemical compound	C0002499
http://www.wikidata.org/entity/Q415850	amobarbital	chemical compound	C0002640
http://www.wikidata.org/entity/Q418418	ankylosis	Human disease	C0003090
http://www.wikidata.org/entity/Q421230	auranofin	chemical compound	C0004320
http://www.wikidata.org/entity/Q416451	azacitidine	chemical compound	C0004475
http://www.wikidata.org/entity/Q410608	butabarbital	chemical compound	C0006464
http://www.wikidata.org/entity/Q419028	chenodiol	chemical compound	C0008024
http://www.wikidata.org/entity/Q415939	chlorambucil	chemical compound	C0008163
http://www.wikidata.org/entity/Q413546	clotrimazole	chemical compound	C0009074
http://www.wikidata.org/entity/Q423288	desipramine	chemical compound	C0011685
http://www.wikidata.org/entity/Q422222	digoxin	chemical compound	C0012265
http://www.wikidata.org/entity/Q409618	dihydroxyacetone	chemical compound	C0012322
http://www.wikidata.org/entity/Q425120	disopyramide	chemical compound	C0012702
http://www.wikidata.org/entity/Q424508	ergometrine	chemical compound	C0014704
http://www.wikidata.org/entity/Q421873	erythritol	chemical compound	C0014757
http://www.wikidata.org/entity/Q409133	chloroethane	chemical compound	C0015058
http://www.wikidata.org/entity/Q419890	(+-)-flurbiprofen	chemical compound	C0016377
http://www.wikidata.org/entity/Q418669	flutamide	chemical compound	C0016384
http://www.wikidata.org/entity/Q416096	griseofulvin	antifungal medication used for dermatophytoses	C0018242
http://www.wikidata.org/entity/Q421183	hexobarbital	chemical compound	C0019469
http://www.wikidata.org/entity/Q407318	hypochlorous acid	chemical compound	C0020600
http://www.wikidata.org/entity/Q409231	indomethacin	chemical compound	C0021246
http://www.wikidata.org/entity/Q410683	iohexol	chemical compound	C0022005
http://www.wikidata.org/entity/Q422225	actinic keratosis	Human disease	C0022602
http://www.wikidata.org/entity/Q417740	lovastatin	chemical compound	C0024027
http://www.wikidata.org/entity/Q417194	methandrostenolone	chemical compound	C0025616
http://www.wikidata.org/entity/Q431643	microcephaly	medical condition in which the brain does not develop properly resulting in a smaller than normal head	C0025958
http://www.wikidata.org/entity/Q56013786	isolated congenital microcephaly	human disease	C0025958
http://www.wikidata.org/entity/Q409587	naltrexone	medication used in the management of alcohol and opioid use disorders	C0027360
http://www.wikidata.org/entity/Q416473	metaproterenol	chemical compound	C0029193
http://www.wikidata.org/entity/Q418719	phenolsulfonphthalein	chemical compound	C0031430
http://www.wikidata.org/entity/Q421910	phenylephrine	chemical compound	C0031469
http://www.wikidata.org/entity/Q424972	prednisone	chemical compound	C0032952
http://www.wikidata.org/entity/Q413598	prilocaine	Local anesthetic of the amino amide type	C0033124
http://www.wikidata.org/entity/Q420454	proflavine	chemical compound	C0033294
http://www.wikidata.org/entity/Q408704	propylhexedrine	hexahydromethamphetamine	C0033508
http://www.wikidata.org/entity/Q419472	pyridostigmine	Medication used to treat myasthenia gravis	C0034261
http://www.wikidata.org/entity/Q420035	sulfasalazine	chemical compound	C0036078
http://www.wikidata.org/entity/Q407204	sodium hypochlorite	chemical compound	C0037518
http://www.wikidata.org/entity/Q415238	tolnaftate	chemical compound	C0040379
http://www.wikidata.org/entity/Q418666	tranexamic acid	chemical compound used to treat or prevent blood loss	C0040613
http://www.wikidata.org/entity/Q408646	triclosan	antimicrobial agent	C0040958
http://www.wikidata.org/entity/Q418386	triethylenetetramine	chemical compound	C0040976
http://www.wikidata.org/entity/Q417654	triprolidine	chemical compound	C0041098
http://www.wikidata.org/entity/Q419646	drospirenone	chemical compound	C0043822
http://www.wikidata.org/entity/Q414143	gemcitabine	chemical compound	C0045093
http://www.wikidata.org/entity/Q416410	fomepizole	chemical compound	C0048504
http://www.wikidata.org/entity/Q424521	ascorbyl palmitate	chemical compound	C0049690
http://www.wikidata.org/entity/Q412085	ammonium persulfate	chemical compound	C0051723
http://www.wikidata.org/entity/Q419059	bethanechol	chemical compound	C0053526
http://www.wikidata.org/entity/Q420026	bretylium	chemical compound	C0054040
http://www.wikidata.org/entity/Q419521	ceftibuten	chemical compound	C0055014
http://www.wikidata.org/entity/Q420586	celiprolol	chemical compound	C0055021
http://www.wikidata.org/entity/Q421787	copper(II) oxide	chemical compound	C0056598
http://www.wikidata.org/entity/Q418437	diethanolamine	chemical compound	C0057919
http://www.wikidata.org/entity/Q408050	dimethyl ether	chemical compound	C0058217
http://www.wikidata.org/entity/Q423842	dimethyl sulfone	chemical compound	C0058231
http://www.wikidata.org/entity/Q420288	vinpocetine	chemical compound	C0059752
http://www.wikidata.org/entity/Q416632	nefazodone	chemical compound	C0068485
http://www.wikidata.org/entity/Q417765	pioglitazone	chemical compound	C0071097
http://www.wikidata.org/entity/Q424484	ricinoleic acid	chemical compound	C0073358
http://www.wikidata.org/entity/Q424151	sibutramine	chemical compound	C0074493
http://www.wikidata.org/entity/Q425088	temozolomide	chemical compound	C0076080
http://www.wikidata.org/entity/Q425119	benzethonium chloride	chemical compound	C0079015
http://www.wikidata.org/entity/Q413578	mupirocin	chemical compound	C0085259
http://www.wikidata.org/entity/Q411853	aluminium phosphide	chemical compound	C0102853
http://www.wikidata.org/entity/Q423308	cabergoline	chemical compound	C0107994
http://www.wikidata.org/entity/Q423318	calcium stearate	chemical compound	C0108143
http://www.wikidata.org/entity/Q419939	doxazosin	group of stereoisomers	C0114873
http://www.wikidata.org/entity/Q423021	dichlorodifluoromethane	chemical compound	C0117953
http://www.wikidata.org/entity/Q418235	sodium lactate	group of stereoisomers	C0142874
http://www.wikidata.org/entity/Q423762	paclitaxel	chemical compound	C0144576
http://www.wikidata.org/entity/Q419953	topotecan	chemical compound	C0146224
http://www.wikidata.org/entity/Q432396	achromatopsia	human illness, a type of color blindness	C0152200
http://www.wikidata.org/entity/Q415401	dorzolamide	chemical compound	C0165590
http://www.wikidata.org/entity/Q424316	tiotropium	pharmaceutical drug	C0213771
http://www.wikidata.org/entity/Q413840	tolcapone	chemical compound	C0246330
http://www.wikidata.org/entity/Q426962	fibrous papule of the nose	disease	C0334428
http://www.wikidata.org/entity/Q426962	fibrous papule of the nose	disease	C0346046
http://www.wikidata.org/entity/Q431643	microcephaly	medical condition in which the brain does not develop properly resulting in a smaller than normal head	C0424688
http://www.wikidata.org/entity/Q430387	mesomelic dwarfism, Nievergelt type	disease	C0432231
http://www.wikidata.org/entity/Q420380	dichlorotetrafluoroethane	chlorofluorocarbon	C0443384
http://www.wikidata.org/entity/Q428914	myocyte	type of cell found in muscle tissue	C0596981
http://www.wikidata.org/entity/Q412845	dichloroacetic acid	chemical compound	C0600203
http://www.wikidata.org/entity/Q423404	Tipranavir	chemical compound	C0663733
http://www.wikidata.org/entity/Q420207	capecitabine	chemical compound	C0671970
http://www.wikidata.org/entity/Q412226	yohimbine	chemical compound	C0724441
http://www.wikidata.org/entity/Q415996	flibanserin	chemical compound	C0754280
http://www.wikidata.org/entity/Q412538	calcium iodide	chemical compound	C0770199
http://www.wikidata.org/entity/Q415877	monosodium phosphate	chemical compound	C0770578
http://www.wikidata.org/entity/Q424551	sodium ascorbate	chemical compound	C0887557
http://www.wikidata.org/entity/Q412659	perflutren	chemical compound	C0937858
http://www.wikidata.org/entity/Q420066	sodium stearate	chemical compound	C0982400
http://www.wikidata.org/entity/Q414904	aliskiren	first in a class of drugs called direct renin inhibitors	C1120110
http://www.wikidata.org/entity/Q423467	atazanavir	chemical compound	C1145759
http://www.wikidata.org/entity/Q418913	armodafinil	chemical compound	C1701455
http://www.wikidata.org/entity/Q425654	indacaterol	chemical compound	C1722260
http://www.wikidata.org/entity/Q414462	apixaban	anticoagulant medication	C1831808
http://www.wikidata.org/entity/Q412405	inflammasome complex	cytosolic multiprotein complex that mediates the activation of Caspase 1	C2936529
http://www.wikidata.org/entity/Q452368	arthrosis of hip	no description	C0029410
http://www.wikidata.org/entity/Q55999930	osteoarthritis susceptibility 5	human disease	C0029410
http://www.wikidata.org/entity/Q473749	amnion	innermost membranous sac that surrounds and protects the developing embryo	C0002630
http://www.wikidata.org/entity/Q478389	kyphosis	abnormal convex curvature of the spine	C0022821
http://www.wikidata.org/entity/Q464067	fungal infectious disease	fungal infection of animals, including humans	C0026946
http://www.wikidata.org/entity/Q490081	Velamentous cord insertion	medical condition	C0266789
http://www.wikidata.org/entity/Q490539	eosinopenia	abnormally low level of eosinophils in the blood	C0272195
http://www.wikidata.org/entity/Q478389	kyphosis	abnormal convex curvature of the spine	C1845112
http://www.wikidata.org/entity/Q490539	eosinopenia	abnormally low level of eosinophils in the blood	C1851586
http://www.wikidata.org/entity/Q506659	prostatic hypertrophy	noncancerous increase in size of the prostate	C0005001
http://www.wikidata.org/entity/Q504775	bladder cancer	urinary system cancer that results in malignant growth located in the urinary bladder	C0005684
http://www.wikidata.org/entity/Q504775	bladder cancer	urinary system cancer that results in malignant growth located in the urinary bladder	C0005695
http://www.wikidata.org/entity/Q55949884	bladder neoplasm	benign or malignant, primary or metastatic neoplasm of the bladder	C0005695
http://www.wikidata.org/entity/Q502704	bronchiole	passageways by which air passes through the nose or mouth to the alveoli of the lungs	C0006270
http://www.wikidata.org/entity/Q514921	craniotomy	no description	C0010280
http://www.wikidata.org/entity/Q501694	congenital insensitivity to pain with anhidrosis	rare disease	C0020074
http://www.wikidata.org/entity/Q496812	leukopenia	decrease in the number of white blood cells	C0023530
http://www.wikidata.org/entity/Q497574	ophthalmic artery	artery of the head	C0029078
http://www.wikidata.org/entity/Q511818	tetany	medical sign consisting of the involuntary contraction of muscles	C0039621
http://www.wikidata.org/entity/Q505619	insanity	abnormal mental or behavioral patterns	C0221503
http://www.wikidata.org/entity/Q497563	internal thoracic artery	artery	C0226276
http://www.wikidata.org/entity/Q516389	penetrance	rate of phenotype	C0524899
