CUI|LAT|TS|LUI|STT|SUI|ISPREF|AUI|SAUI|SCUI|SDUI|SAB|TTY|CODE|STR|SRL|SUPPRESS|CVF|ICD10CM_SPA|ICD10PCS_SPA|SNOMEDCT2ICD10|SNOMEDCT2ICD10_ENG|SNOMEDCT2ICD10_SPA|WIKIDATA|MESH_WIKI|SNOMED_CT_WIKI|ICD10_WIKI|ICD10CM_WIKI|ICD10PCS_WIKI|NCBI_WIKI|WN31|WN30|WN_SENSE|TUI|SEMTYPE|SEMGROUP|DEF
C0000005|FRE|S|L6215656|PF|S7133956|Y|A27614225||M0019694|D012711|MSHFRE|ET|D012711|Macroagrégats d'albumine humaine marquée à l'iode 131|3|N|||||||Q20801769|D012711|||||||||T130|Indicator, Reagent, or Diagnostic Aid|CHEM|Chemicals & Drugs
C0000005|SWE|P|L17197376|PF|S20758072|Y|A33245954||M0019694|D012711|MSHSWE|ET|D012711|(131)I-Makroaggregerat albumin|3|N|||||||Q20801769|D012711|||||||||T116|Amino Acid, Peptide, or Protein|CHEM|Chemicals & Drugs
C0000005|SWE|P|L17197376|PF|S20758072|Y|A33245954||M0019694|D012711|MSHSWE|ET|D012711|(131)I-Makroaggregerat albumin|3|N|||||||Q20801769|D012711|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000005|SWE|P|L17197376|PF|S20758072|Y|A33245954||M0019694|D012711|MSHSWE|ET|D012711|(131)I-Makroaggregerat albumin|3|N|||||||Q20801769|D012711|||||||||T130|Indicator, Reagent, or Diagnostic Aid|CHEM|Chemicals & Drugs
C0000039|CZE|P|L6742182|PF|S7862052|Y|A13042554||M0023172|D015060|MSHCZE|MH|D015060|1,2-dipalmitoylfosfatidylcholin|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|CZE|P|L6742182|PF|S7862052|Y|A13042554||M0023172|D015060|MSHCZE|MH|D015060|1,2-dipalmitoylfosfatidylcholin|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|CZE|S|L16793135|PF|S20338296|Y|A32647442||M0023172|D015060|MSHCZE|ET|D015060|DPPC|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|CZE|S|L16793135|PF|S20338296|Y|A32647442||M0023172|D015060|MSHCZE|ET|D015060|DPPC|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|CZE|S|L16793722|PF|S20342801|Y|A32637908||M0023172|D015060|MSHCZE|ET|D015060|dipalmitoylfosfatidylcholin|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|CZE|S|L16793722|PF|S20342801|Y|A32637908||M0023172|D015060|MSHCZE|ET|D015060|dipalmitoylfosfatidylcholin|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|CZE|S|L16794994|PF|S20342800|Y|A32637907||M0023172|D015060|MSHCZE|ET|D015060|dipalmitoyl-fosfatidylcholin|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|CZE|S|L16794994|PF|S20342800|Y|A32637907||M0023172|D015060|MSHCZE|ET|D015060|dipalmitoyl-fosfatidylcholin|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|P|L0000039|PF|S17175117|N|A28315139|9194921|1926948||RXNORM|IN|1926948|1,2-dipalmitoylphosphatidylcholine|0|N|256||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|P|L0000039|PF|S17175117|N|A28315139|9194921|1926948||RXNORM|IN|1926948|1,2-dipalmitoylphosphatidylcholine|0|N|256||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|P|L0000039|PF|S17175117|Y|A28572604||||MTH|PN|NOCODE|1,2-dipalmitoylphosphatidylcholine|0|N|256||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|P|L0000039|PF|S17175117|Y|A28572604||||MTH|PN|NOCODE|1,2-dipalmitoylphosphatidylcholine|0|N|256||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|P|L0000039|VC|S0007564|Y|A0016515||M0023172|D015060|MSH|MH|D015060|1,2-Dipalmitoylphosphatidylcholine|0|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|P|L0000039|VC|S0007564|Y|A0016515||M0023172|D015060|MSH|MH|D015060|1,2-Dipalmitoylphosphatidylcholine|0|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|P|L0000039|VC|S1357296|Y|A1317708||M0023172|D015060|MSH|PM|D015060|1,2 Dipalmitoylphosphatidylcholine|0|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|P|L0000039|VC|S1357296|Y|A1317708||M0023172|D015060|MSH|PM|D015060|1,2 Dipalmitoylphosphatidylcholine|0|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0000035|PF|S0007560|Y|A26674543||M0023172|D015060|MSH|ET|D015060|1,2-Dihexadecyl-sn-Glycerophosphocholine|0|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0000035|PF|S0007560|Y|A26674543||M0023172|D015060|MSH|ET|D015060|1,2-Dihexadecyl-sn-Glycerophosphocholine|0|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0000035|VO|S1357276|Y|A1317687||M0023172|D015060|MSH|PM|D015060|1,2 Dihexadecyl sn Glycerophosphocholine|0|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0000035|VO|S1357276|Y|A1317687||M0023172|D015060|MSH|PM|D015060|1,2 Dihexadecyl sn Glycerophosphocholine|0|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0000038|PF|S0007563|Y|A26661070||M0023172|D015060|MSH|ET|D015060|1,2-Dipalmitoyl-Glycerophosphocholine|0|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0000038|PF|S0007563|Y|A26661070||M0023172|D015060|MSH|ET|D015060|1,2-Dipalmitoyl-Glycerophosphocholine|0|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0000038|VO|S1357295|Y|A1317707||M0023172|D015060|MSH|PM|D015060|1,2 Dipalmitoyl Glycerophosphocholine|0|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0000038|VO|S1357295|Y|A1317707||M0023172|D015060|MSH|PM|D015060|1,2 Dipalmitoyl Glycerophosphocholine|0|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012507|PF|S0033298|N|A0049238||||SNMI|PT|F-63675|Dipalmitoylphosphatidylcholine|9|N|256||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012507|PF|S0033298|N|A0049238||||SNMI|PT|F-63675|Dipalmitoylphosphatidylcholine|9|N|256||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012507|PF|S0033298|N|A18399186||LP15542-1||LNC|LPN|LP15542-1|Dipalmitoylphosphatidylcholine|0|N|256||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012507|PF|S0033298|N|A18399186||LP15542-1||LNC|LPN|LP15542-1|Dipalmitoylphosphatidylcholine|0|N|256||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012507|PF|S0033298|N|A23513030||MTHU010538||LNC|CN|MTHU010538|Dipalmitoylphosphatidylcholine|0|N|256||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012507|PF|S0033298|N|A23513030||MTHU010538||LNC|CN|MTHU010538|Dipalmitoylphosphatidylcholine|0|N|256||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012507|PF|S0033298|N|A32917594||LP15542-1||LNC|LPDN|LP15542-1|Dipalmitoylphosphatidylcholine|0|N|256||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012507|PF|S0033298|N|A32917594||LP15542-1||LNC|LPDN|LP15542-1|Dipalmitoylphosphatidylcholine|0|N|256||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012507|PF|S0033298|Y|A26596366||M0023172|D015060|MSH|ET|D015060|Dipalmitoylphosphatidylcholine|0|N|256||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012507|PF|S0033298|Y|A26596366||M0023172|D015060|MSH|ET|D015060|Dipalmitoylphosphatidylcholine|0|N|256||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012508|PF|S0033296|Y|A26607235||M0023172|D015060|MSH|ET|D015060|Dipalmitoylglycerophosphocholine|0|N|256||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012508|PF|S0033296|Y|A26607235||M0023172|D015060|MSH|ET|D015060|Dipalmitoylglycerophosphocholine|0|N|256||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012509|PF|S0033297|Y|A26604498||M0023172|D015060|MSH|ET|D015060|Dipalmitoyllecithin|0|N|256||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0012509|PF|S0033297|Y|A26604498||M0023172|D015060|MSH|ET|D015060|Dipalmitoyllecithin|0|N|256||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0354989|PF|S0464922|Y|A0528280||M0023172|D015060|MSH|N1|D015060|3,5,9-Trioxa-4-phosphapentacosan-1-aminium, 4-hydroxy-N,N,N-trimethyl-10-oxo-7-((1-oxohexadecyl)oxy)-, inner salt, 4-oxide|0|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L0354989|PF|S0464922|Y|A0528280||M0023172|D015060|MSH|N1|D015060|3,5,9-Trioxa-4-phosphapentacosan-1-aminium, 4-hydroxy-N,N,N-trimethyl-10-oxo-7-((1-oxohexadecyl)oxy)-, inner salt, 4-oxide|0|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L6195414|PF|S0033295|Y|A26631676||M0023172|D015060|MSH|ET|D015060|Dipalmitoyl Phosphatidylcholine|0|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L6195414|PF|S0033295|Y|A26631676||M0023172|D015060|MSH|ET|D015060|Dipalmitoyl Phosphatidylcholine|0|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ENG|S|L6195414|VW|S0073244|Y|A0100864||M0023172|D015060|MSH|PM|D015060|Phosphatidylcholine, Dipalmitoyl|0|N|256||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ENG|S|L6195414|VW|S0073244|Y|A0100864||M0023172|D015060|MSH|PM|D015060|Phosphatidylcholine, Dipalmitoyl|0|N|256||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|FIN|P|L1506976|PF|S1802885|Y|A13424401||M0023172|D015060|MSHFIN|MH|D015060|1,2-dipalmitoylifosfatidyylikoliini|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|FIN|P|L1506976|PF|S1802885|Y|A13424401||M0023172|D015060|MSHFIN|MH|D015060|1,2-dipalmitoylifosfatidyylikoliini|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|FRE|P|L3245036|PF|S3772540|Y|A7439429||M0023172|D015060|MSHFRE|MH|D015060|1,2-Dipalmitoylphosphatidylcholine|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|FRE|P|L3245036|PF|S3772540|Y|A7439429||M0023172|D015060|MSHFRE|MH|D015060|1,2-Dipalmitoylphosphatidylcholine|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|GER|P|L1226153|PF|S1468099|Y|A7480660||M0023172|D015060|MSHGER|MH|D015060|1,2-Dipalmitoylphosphatidylcholin|0|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|GER|P|L1226153|PF|S1468099|Y|A7480660||M0023172|D015060|MSHGER|MH|D015060|1,2-Dipalmitoylphosphatidylcholin|0|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|GER|S|L1246976|PF|S1488922|Y|A27508696||M0023172|D015060|MSHGER|ET|D015060|Dipalmitoyllecithin|0|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|GER|S|L1246976|PF|S1488922|Y|A27508696||M0023172|D015060|MSHGER|ET|D015060|Dipalmitoyllecithin|0|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|ITA|P|L2136463|PF|S2474685|Y|A7547990||M0023172|D015060|MSHITA|MH|D015060|1,2-Dipalmitoilfosfatidilcolina|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|ITA|P|L2136463|PF|S2474685|Y|A7547990||M0023172|D015060|MSHITA|MH|D015060|1,2-Dipalmitoilfosfatidilcolina|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|JPN|P|L3437320|PF|S3964814|Y|A15722927||M0023172|D015060|MSHJPN|PT|D015060|1,2-ジパルミトイルホスファチジルコリン|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|JPN|P|L3437320|PF|S3964814|Y|A15722927||M0023172|D015060|MSHJPN|PT|D015060|1,2-ジパルミトイルホスファチジルコリン|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|JPN|S|L3437321|PF|S3964815|Y|A7887644||M0023172|D015060|MSHJPN|SY|D015060|1,2-ジパルミトイルレシチン|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|JPN|S|L3437321|PF|S3964815|Y|A7887644||M0023172|D015060|MSHJPN|SY|D015060|1,2-ジパルミトイルレシチン|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|JPN|S|L3449844|PF|S3977338|Y|A7895635||M0023172|D015060|MSHJPN|SY|D015060|ジパルミトイルホスファチジルコリン|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|JPN|S|L3449844|PF|S3977338|Y|A7895635||M0023172|D015060|MSHJPN|SY|D015060|ジパルミトイルホスファチジルコリン|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|JPN|S|L3449845|PF|S3977339|Y|A7895636||M0023172|D015060|MSHJPN|SY|D015060|ジパルミトイルレシチン|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|JPN|S|L3449845|PF|S3977339|Y|A7895636||M0023172|D015060|MSHJPN|SY|D015060|ジパルミトイルレシチン|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|POL|P|L9697169|PF|S12134127|Y|A18972171||M0023172|D015060|MSHPOL|MH|D015060|1,2-dipalmitoilofosfatydylocholina|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|POL|P|L9697169|PF|S12134127|Y|A18972171||M0023172|D015060|MSHPOL|MH|D015060|1,2-dipalmitoilofosfatydylocholina|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|POL|S|L9692854|PF|S12142726|Y|A18995794||M0023172|D015060|MSHPOL|SY|D015060|Dipalmitoilolecytyna|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|POL|S|L9692854|PF|S12142726|Y|A18995794||M0023172|D015060|MSHPOL|SY|D015060|Dipalmitoilolecytyna|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|POR|P|L6782951|PF|S7907005|Y|A13096036||M0023172|D015060|MSHPOR|MH|D015060|1,2-Dipalmitoilfosfatidilcolina|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|POR|P|L6782951|PF|S7907005|Y|A13096036||M0023172|D015060|MSHPOR|MH|D015060|1,2-Dipalmitoilfosfatidilcolina|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|POR|S|L3302348|PF|S3830454|Y|A27583474||M0023172|D015060|MSHPOR|ET|D015060|Dipalmitoil-Lecitina|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|POR|S|L3302348|PF|S3830454|Y|A27583474||M0023172|D015060|MSHPOR|ET|D015060|Dipalmitoil-Lecitina|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|RUS|P|L3334673|PF|S3862165|Y|A8009316||M0023172|D015060|MSHRUS|MH|D015060|1,2-ДИПАЛЬМИТОИЛФОСФАТИДИЛХОЛИН|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|RUS|P|L3334673|PF|S3862165|Y|A8009316||M0023172|D015060|MSHRUS|MH|D015060|1,2-ДИПАЛЬМИТОИЛФОСФАТИДИЛХОЛИН|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|RUS|S|L0889243|PF|S1093060|Y|A13517167||M0023172|D015060|MSHRUS|SY|D015060|1,2-DIPAL'MITOILFOSFATIDILKHOLIN|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|RUS|S|L0889243|PF|S1093060|Y|A13517167||M0023172|D015060|MSHRUS|SY|D015060|1,2-DIPAL'MITOILFOSFATIDILKHOLIN|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|RUS|S|L1515674|PF|S1811583|Y|A13491993||M0023172|D015060|MSHRUS|SY|D015060|DIPAL'MITILLETSITIN|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|RUS|S|L1515674|PF|S1811583|Y|A13491993||M0023172|D015060|MSHRUS|SY|D015060|DIPAL'MITILLETSITIN|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|RUS|S|L1515675|PF|S1811584|Y|A13498396||M0023172|D015060|MSHRUS|SY|D015060|DIPAL'MITOILLETSITIN|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|RUS|S|L1515675|PF|S1811584|Y|A13498396||M0023172|D015060|MSHRUS|SY|D015060|DIPAL'MITOILLETSITIN|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|RUS|S|L3347968|PF|S3875447|Y|A8022583||M0023172|D015060|MSHRUS|SY|D015060|ДИПАЛЬМИТИЛЛЕЦИТИН|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|RUS|S|L3347968|PF|S3875447|Y|A8022583||M0023172|D015060|MSHRUS|SY|D015060|ДИПАЛЬМИТИЛЛЕЦИТИН|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|RUS|S|L3347969|PF|S3875448|Y|A8022584||M0023172|D015060|MSHRUS|SY|D015060|ДИПАЛЬМИТОИЛЛЕЦИТИН|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|RUS|S|L3347969|PF|S3875448|Y|A8022584||M0023172|D015060|MSHRUS|SY|D015060|ДИПАЛЬМИТОИЛЛЕЦИТИН|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|SPA|P|L3378893|PF|S3906392|Y|A9176213||M0023172|D015060|MSHSPA|MH|D015060|1,2-Dipalmitoilfosfatidilcolina|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|SPA|P|L3378893|PF|S3906392|Y|A9176213||M0023172|D015060|MSHSPA|MH|D015060|1,2-Dipalmitoilfosfatidilcolina|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|SPA|S|L3390060|PF|S3917695|Y|A27548619||M0023172|D015060|MSHSPA|ET|D015060|Dipalmitoil-Lecitina|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|SPA|S|L3390060|PF|S3917695|Y|A27548619||M0023172|D015060|MSHSPA|ET|D015060|Dipalmitoil-Lecitina|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000039|SWE|P|L3419044|PF|S3946539|Y|A11754881||M0023172|D015060|MSHSWE|MH|D015060|1,2-dipalmitoylfosfatidylkolin|3|N|||||||Q2587934|D015060|||||||||T109|Organic Chemical|CHEM|Chemicals & Drugs
C0000039|SWE|P|L3419044|PF|S3946539|Y|A11754881||M0023172|D015060|MSHSWE|MH|D015060|1,2-dipalmitoylfosfatidylkolin|3|N|||||||Q2587934|D015060|||||||||T121|Pharmacologic Substance|CHEM|Chemicals & Drugs
C0000052|CZE|P|L6759769|PF|S7873160|Y|A13046704||M0023173|D015061|MSHCZE|MH|D015061|enzym větvící alfa-glukan v poloze 1,4|3|N|||||||||||||||||T116|Amino Acid, Peptide, or Protein|CHEM|Chemicals & Drugs
